,tweet_id,tweet_text,image_url,favorites
0,1364758339079479296,Depth. Love the chair. Art. Classic mantel view. 10/10 @CharlieCookDC https://t.co/fBuV2VgIUC,http://pbs.twimg.com/media/EvCYedsVkAAhmnb.jpg,173
1,1364755341175480323,Karate chopped pillows. Art. Plant. Add more light. Multiple books violation. 8/10 @JamieKernLima https://t.co/WDooDUXFGA,http://pbs.twimg.com/media/EvCVv9bUYAE-SQx.jpg,104
2,1364730053234290690,Room Rater Fluffy Room. A pineapple can be so much more than just decor. Sweet pup for the win. 10/10 @ninaandtito https://t.co/6pkXFhALSv,http://pbs.twimg.com/media/EvB-v_8VoAcqEHy.jpg,926
3,1364700539817058311,Revisiting. Top room with a view. Plants. Lamp. Pillows. Art. 10/10 @EliStokols https://t.co/X8fMMa3RjQ https://t.co/66yShgHCyo,http://pbs.twimg.com/media/EvBj5-CVIAMXgzm.jpg,116
4,1364699445883932673,Checking in. Mantel view. Shapes. Art. Lighting. Classic 10/10 @peterbakernyt https://t.co/lPCwYrfPmX,http://pbs.twimg.com/media/EvBi6UiVkAYI82Q.jpg,378
5,1364686397739704321,Good depth. Art. Love the colors. Dramatically lit.  9/10 @Schriock1 https://t.co/jz2zrQHyaV,http://pbs.twimg.com/media/EvBXC2KVkAABLBz.jpg,83
6,1364658164142985217,Good window treatment. Patriotic pillow. Lower camera slightly/reframe. Show us the art. 8/10 @JimmyRobertsNBC https://t.co/WnzsTbSYtV,http://pbs.twimg.com/media/EvA9XaPVcAANmM5.jpg,67
7,1364654442553896962,RT @ratemyskyperoom: Consistent. Design focused. Color game is tops.  Two for two. 10/10 @ashishkjha https://t.co/9YkSMTX7nS,http://pbs.twimg.com/media/Eu6yFj5U4AAH1aa.jpg,0
8,1364640392776282113,Has some good elements. Lamps. Art. Need to completely rework lighting. We’ll rerate. 4/10 @hillhulse https://t.co/E3wUENkHEa,http://pbs.twimg.com/media/EvAtNAqVIAAnKos.jpg,50
9,1364637405643304960,Decent inset shelf set up. Hoop on door is points. Minor cord violation. 8/10 @seanmgregory https://t.co/nMG2bRTfCb,http://pbs.twimg.com/media/EvAqfEKUUAUB3Us.jpg,73
10,1364629903576944640,We are pro candle. Nice couch. Need to back up/add a pillow/plant. 8/10 #eddiemurphy https://t.co/FMboUC1ykW,http://pbs.twimg.com/media/EvAjqbzVcAAvEoD.jpg,196
11,1364603897059237888,Room Rater Update. @annenbcnews has added tulips. *apologies as we only go up to 10/10. https://t.co/Py4vS3AoRJ,http://pbs.twimg.com/media/EvAMAocVcAAvAXj.jpg,1048
